Carrosserie;Code_vehicule;Alimentation;Boite_vitesse;Date_debut_comerc;Date_fin_comerc;Groupe_vehicule;Classe_vehicule;Puissance_vehicule
PICK-UP;VW46002;GO;M;1122010;10052011.0;34;O;7.0
FOURGONNETTE;ME10031;ES;M;1991;1991.0;30;P;13.0
4x4-SUV;TO12172;GO;A;14012010;2012012.0;33;S;11.0
FOURGONNETTE;ME25002;GO;M;1989;1993.0;33;O;10.0
4x4-SUV;LR07031;ES;A;1022001;1102001.0;33;O;13.0
FOURGONNETTE;CI03012;ES;M;1973;1976.0;27;C;6.0
MONOSPACE;VW34206;GO;S;3112008;25042009.0;33;L;8.0
BREAK;AU15044;GO;M;1995;1996.0;34;P;10.0
BERLINE;AU28109;ES;S;8122006;24042008.0;38;R;17.0
COUPE;BM67032;GO;M;30032010;1072013.0;38;R;15.0
FOURGONNETTE;RE56073;ES;M;15112004;2062008.0;28;G;7.0
MONOSPACE;CI70033;GO;M;3042018;2072018.0;34;M;7.0
FOURGONNETTE;RE18029;GO;M;1998;1998.0;31;N;8.0
COUPE;ME47022;ES;A;4042012;3012013.0;41;HC;33.0
FOURGONNETTE;OP29047;GN;M;15062007;17012011.0;30;J;8.0
BERLINE;VW30053;GO;M;2102000;1082002.0;31;K;6.0
CAMIONNETTE;RE77027;GO;M;5012010;4012011.0;31;J;5.0
BERLINE;FO28456;ES;M;3022012;19082013.0;32;K;6.0
4x4-SUV;MI05052;GO;M;1994;1997.0;31;N;11.0
BREAK;ME15030;ES;M;1986;1988.0;35;Q;16.0
BREAK;AU06070;ES;A;1987;1987.0;32;L;10.0
4x4-SUV;TO12021;ES;M;1976;9999.0;30;B;24.0
CABRIOLET;CI58150;GO;M;1042015;4012016.0;31;L;5.0
FOURGONNETTE;TO09002;GO;M;1982;9999.0;29;G;10.0
FOURGONNETTE;OP23018;GO;M;1999;2000.0;31;M;8.0
4x4-SUV;MH03003;GO;M;1042005;1042006.0;29;K;7.0
BERLINE;RE73077;ES;M;28092010;9032011.0;29;F;4.0
